Item Name,Serving Size,Protein (g),Total Fat (g),Carbohydrates (g),Sugar (g),Fiber (g),Sodium (mg),Cholesterol (mg)
BASMATI RICE,45.0 g,6.67,1.11,77.8,0.0,0.0,11.0,0.0
BASMATI RICE,48.0 g,8.33,0.0,81.2,0.0,0.0,0.0,0.0
BASMATI RICE,100.0 g,19.0,6.0,61.0,11.0,17.0,24.0,0.0
BASMATI RICE,125.0 g,3.2,1.6,43.2,0.0,2.4,0.0,0.0
BASMATI RICE,45.0 g,8.89,0.0,84.4,0.0,2.2,0.0,0.0
BASMATI RICE,45.0 g,6.67,0.0,84.4,0.0,0.0,11.0,0.0
BASMATI RICE,100.0 g,9.0,0.4,78.6,0.0,0.0,0.0,0.0
BASMATI RICE,45.0 g,8.89,0.0,77.8,0.0,0.0,0.0,0.0
BASMATI RICE,52.0 g,7.69,0.0,78.8,0.0,1.9,0.0,0.0
BASMATI RICE,45.0 g,8.89,0.0,77.8,0.0,0.0,0.0,0.0
BASMATI RICE,45.0 g,8.89,0.0,77.8,0.0,0.0,0.0,0.0
BASMATI RICE,50.0 g,8.0,0.0,78.0,0.0,0.0,0.0,0.0
BASMATI RICE,125.0 g,3.2,1.6,43.2,0.0,2.4,0.0,0.0
BASMATI RICE,133.0 GRM,4.51,2.26,33.1,0.0,0.8,11.0,0.0
BASMATI RICE,45.0 g,6.67,0.0,80.0,0.0,2.2,0.0,0.0
BASMATI RICE,49.0 g,8.16,0.0,79.6,0.0,2.0,0.0,0.0
BASMATI RICE,50.0 g,8.0,0.0,80.0,0.0,2.0,0.0,0.0
BASMATI RICE,140.0 GRM,2.86,2.14,26.4,0.0,0.7,29.0,0.0
BASMATI RICE,45.0 g,6.67,0.0,77.8,0.0,0.0,0.0,0.0
BASMATI RICE,45.0 GRM,8.89,0.0,77.8,0.0,0.0,0.0,0.0
BASMATI RICE,45.0 g,6.67,1.11,77.8,0.0,0.0,11.0,0.0
BASMATI RICE,46.0 GRM,8.7,0.0,78.3,0.0,0.0,54.0,0.0
BASMATI RICE,45.0 g,6.67,0.0,88.9,0.0,0.0,0.0,0.0
BASMATI RICE,45.0 g,6.67,0.0,77.8,0.0,0.0,0.0,0.0
BASMATI RICE,45.0 g,6.67,0.0,77.8,0.0,0.0,0.0,0.0
BASMATI RICE,48.0 g,6.25,0.0,79.2,0.0,2.1,0.0,0.0
BASMATI RICE,45.0 g,6.67,0.0,77.8,0.0,2.2,0.0,0.0
Rice crackers,Not specified,10.0,5.0,82.6,0.0,0.0,233.0,0.0
"Snacks, rice cakes, brown rice, buckwheat",Not specified,9.0,3.5,80.1,0.0,3.8,116.0,0.0
"Snacks, rice cakes, brown rice, corn",Not specified,8.4,3.2,81.2,0.0,2.9,167.0,0.0
"Snacks, rice cakes, brown rice, multigrain",Not specified,8.5,3.5,80.1,0.0,3.0,252.0,0.0
"Snacks, rice cakes, brown rice, rye",Not specified,8.1,3.8,79.9,0.0,4.0,110.0,0.0
"Snacks, rice cracker brown rice, plain",Not specified,8.2,2.8,81.5,0.89,4.2,166.0,0.0
"Rice and vermicelli mix, rice pilaf flavor, unprepared",Not specified,10.4,1.37,76.3,1.53,1.2,1300.0,1.0
"Snacks, rice cakes, brown rice, buckwheat, unsalted",Not specified,9.0,3.5,80.1,0.0,0.0,4.0,0.0
"Snacks, rice cakes, brown rice, multigrain, unsalted",Not specified,8.5,3.5,80.1,0.0,0.0,4.0,0.0
"Snacks, rice cakes, brown rice, plain, unsalted",Not specified,8.2,2.8,81.5,0.88,4.2,26.0,0.0
"Snacks, rice cakes, brown rice, sesame seed",Not specified,7.6,3.8,81.5,0.0,5.4,227.0,0.0
"BASMATI RICE, BASMATI",45.0 GRM,8.89,0.0,77.8,0.0,0.0,0.0,0.0
"BASMATI RICE, BASMATI",133.0 MG,4.51,2.26,33.1,0.0,0.8,11.0,0.0
"BASMATI RICE, BASMATI",45.0 g,6.67,1.11,75.6,0.0,0.0,0.0,0.0
"BASMATI RICE, BASMATI",45.0 GRM,8.89,0.0,77.8,0.0,0.0,0.0,0.0
"BASMATI RICE, BASMATI",45.0 MG,6.67,0.0,77.8,0.0,0.0,0.0,0.0
"BASMATI RICE, BASMATI",45.0 MG,6.67,0.0,77.8,0.0,0.0,0.0,0.0
"BASMATI RICE, BASMATI",45.0 g,8.89,0.0,77.8,0.0,2.2,0.0,0.0
"BASMATI RICE, BASMATI",45.0 GRM,8.89,0.0,77.8,0.0,0.0,0.0,0.0
"BASMATI RICE, BASMATI",45.0 g,6.67,0.0,80.0,0.0,2.2,0.0,0.0
"BASMATI RICE, BASMATI",125.0 g,3.2,1.2,37.6,0.0,1.2,0.0,0.0
"BASMATI RICE, BASMATI",45.0 GRM,8.89,0.0,80.0,1.11,0.0,22.0,0.0
"BASMATI RICE, BASMATI",45.0 g,6.67,0.0,80.0,0.0,2.2,0.0,0.0
WHEAT FLOUR,15.0 g,6.67,20.0,66.7,6.67,6.7,800.0,0.0
WHEAT FLOUR,100.0 g,10.3,1.1,70.0,0.0,0.0,0.0,0.0
WHEAT FLOUR,100.0 g,11.8,1.1,70.7,1.4,2.6,1.0,0.0
WHEAT FLOUR,100.0 g,11.5,1.2,70.6,3.4,2.5,1.0,0.0
"Wheat flour, whole-grain, soft wheat",Not specified,9.61,1.95,74.5,1.02,13.1,3.0,0.0
"Flour, whole wheat, unenriched",Not specified,15.1,2.73,71.2,0.0,10.6,3.0,0.0
"Wheat flours, bread, unenriched",Not specified,12.0,1.66,72.5,0.31,2.4,2.0,0.0
"Wheat flour, white, bread, enriched",Not specified,12.0,1.66,72.5,0.31,2.4,2.0,0.0
"Wheat flour, white, cake, enriched",Not specified,8.2,0.86,78.0,0.31,1.7,2.0,0.0
"Flour, wheat, all-purpose, enriched, bleached",Not specified,10.9,1.48,77.3,0.0,0.0,2.0,0.0
"Flour, wheat, all-purpose, enriched, unbleached",Not specified,13.1,1.48,73.2,0.0,0.0,4.0,0.0
"Flour, wheat, all-purpose, unenriched, unbleached",Not specified,12.0,1.7,74.6,0.0,3.0,2.0,0.0
"Wheat flour, white, all-purpose, unenriched",Not specified,10.3,0.98,76.3,0.27,2.7,2.0,0.0
"Wheat flour, white, tortilla mix, enriched",Not specified,9.66,10.6,67.1,0.0,0.0,677.0,0.0
"Wheat flour, white, all-purpose, enriched, bleached",Not specified,10.3,0.98,76.3,0.27,2.7,2.0,0.0
"Wheat flour, white, all-purpose, enriched, unbleached",Not specified,10.3,0.98,76.3,0.27,2.7,2.0,0.0
"Wheat flour, white (industrial), 10% protein, bleached, enriched",Not specified,9.71,1.48,76.2,0.49,2.4,2.0,0.0
"Wheat flour, white (industrial), 10% protein, bleached, unenriched",Not specified,9.71,1.48,76.2,0.49,2.4,2.0,0.0
"Wheat flour, white (industrial), 10% protein, unbleached, enriched",Not specified,9.71,1.48,76.2,0.49,2.4,2.0,0.0
"Wheat flour, white (industrial), 11.5% protein, bleached, enriched",Not specified,11.5,1.45,73.8,1.12,2.4,2.0,0.0
"Wheat flour, white (industrial), 11.5% protein, bleached, unenriched",Not specified,11.5,1.45,73.8,1.12,2.4,2.0,0.0
"Wheat flour, white (industrial), 11.5% protein, unbleached, enriched",Not specified,11.5,1.45,73.8,1.12,2.4,2.0,0.0
"Wheat flour, white (industrial), 13% protein, bleached, enriched",Not specified,13.1,1.38,72.2,1.1,2.4,2.0,0.0
"Wheat flour, white (industrial), 13% protein, bleached, unenriched",Not specified,13.1,1.38,72.2,1.1,2.4,2.0,0.0
"Wheat flour, white (industrial), 15% protein, bleached, enriched",Not specified,15.3,1.41,69.9,0.92,2.4,2.0,0.0
"Wheat flour, white (industrial), 15% protein, bleached, unenriched",Not specified,15.3,1.41,69.9,0.92,2.4,2.0,0.0
"Wheat flour, white (industrial), 9% protein, bleached, enriched",Not specified,8.89,1.43,77.3,0.54,0.0,2.0,0.0
"Wheat flour, white (industrial), 9% protein, bleached, unenriched",Not specified,8.89,1.43,77.3,0.54,2.4,2.0,0.0
"Wheat flour, white, all-purpose, enriched, calcium-fortified",Not specified,10.3,0.98,76.3,0.0,2.7,2.0,0.0
"Wheat flour, white, all-purpose, self-rising, enriched",Not specified,9.89,0.97,74.2,0.22,2.7,1190.0,0.0
"Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",Not specified,8.41,2.85,73.4,0.0,6.3,1320.0,0.0
"Cornmeal, yellow, self-rising, bolted, with wheat flour added, enriched",Not specified,8.41,2.85,73.4,0.0,6.3,1320.0,0.0
"Wheat flour, whole-grain (Includes foods for USDA's Food Distribution Program)",Not specified,13.2,2.5,72.0,0.41,10.7,2.0,0.0
"Pan Dulce, La Ricura, Salpora de Arroz con Azucar, cookie-like, contains wheat flour and rice flour",Not specified,8.81,16.1,66.3,21.9,1.2,445.0,0.0
Arrowroot flour,Not specified,0.3,0.1,88.2,0.0,3.4,2.0,0.0
Carob flour,Not specified,4.62,0.65,88.9,49.1,39.8,35.0,0.0
"Flour, 00",Not specified,11.4,1.52,74.4,0.0,2.66,0.0,0.0
"Flour, almond",Not specified,26.2,50.2,16.2,0.0,9.27,0.894,0.0
"Flour, amaranth",Not specified,13.2,6.24,68.8,0.0,7.21,0.0,0.0
"Flour, barley",Not specified,8.72,2.45,77.4,0.0,12.8,20.3,0.0
"Flour, buckwheat",Not specified,8.88,2.48,75.0,0.0,10.4,0.0,0.0
"Flour, cassava",Not specified,0.918,0.494,87.3,0.0,4.83,13.1,0.0
"Flour, chestnut",Not specified,5.29,4.64,80.5,0.0,8.71,0.0,0.0
"Flour, coconut",Not specified,16.1,15.3,58.9,0.0,34.2,46.9,0.0
"Flour, potato",Not specified,8.11,0.951,79.9,0.0,5.4,47.7,0.0
"Flour, quinoa",Not specified,11.9,6.6,69.5,0.0,6.3,6.32,0.0
"Flour, rye",Not specified,8.4,1.91,77.2,0.0,13.7,0.0,0.0
"Flour, sorghum",Not specified,8.27,3.59,77.4,0.0,6.02,0.0,0.0
Millet flour,Not specified,10.8,4.25,75.1,1.66,3.5,4.0,0.0
Potato flour,Not specified,6.9,0.34,83.1,3.52,5.9,55.0,0.0
MAIDA ALL PURPOSE FLOUR,30.0 g,10.0,3.33,76.7,0.0,3.3,23.0,0.0
"KARACHI'S FRUIT BISCUITS, KARACHI'S FRUIT",64.0 g,6.25,23.4,65.6,18.8,4.7,78.0,0.0
