Item Name,Serving Size,Calories (kcal),Protein (g),Total Fat (g),Carbohydrates (g),Sugar (g),Fiber (g),Sodium (mg),Cholesterol (mg),Pakistani,Meal Type
BASMATI RICE,45.0 g,356.0,6.67,1.11,77.8,0.0,0.0,11.0,0.0,True,Lunch
BASMATI RICE,48.0 g,354.0,8.33,0.0,81.2,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,100.0 g,364.0,19.0,6.0,61.0,11.0,17.0,24.0,0.0,True,Lunch
BASMATI RICE,125.0 g,0.0,3.2,1.6,43.2,0.0,2.4,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,333.0,8.89,0.0,84.4,0.0,2.2,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,364.0,6.67,0.0,84.4,0.0,0.0,11.0,0.0,True,Lunch
BASMATI RICE,100.0 g,354.0,9.0,0.4,78.6,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,52.0 g,365.0,7.69,0.0,78.8,0.0,1.9,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,50.0 g,360.0,8.0,0.0,78.0,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,125.0 g,200.0,3.2,1.6,43.2,0.0,2.4,0.0,0.0,True,Lunch
BASMATI RICE,133.0 GRM,165.0,4.51,2.26,33.1,0.0,0.8,11.0,0.0,True,Lunch
BASMATI RICE,45.0 g,356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
BASMATI RICE,49.0 g,347.0,8.16,0.0,79.6,0.0,2.0,0.0,0.0,True,Lunch
BASMATI RICE,50.0 g,360.0,8.0,0.0,80.0,0.0,2.0,0.0,0.0,True,Lunch
BASMATI RICE,140.0 GRM,136.0,2.86,2.14,26.4,0.0,0.7,29.0,0.0,True,Lunch
BASMATI RICE,45.0 g,333.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,45.0 GRM,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,356.0,6.67,1.11,77.8,0.0,0.0,11.0,0.0,True,Lunch
BASMATI RICE,46.0 GRM,348.0,8.7,0.0,78.3,0.0,0.0,54.0,0.0,True,Lunch
BASMATI RICE,45.0 g,367.0,6.67,0.0,88.9,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,333.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,333.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,48.0 g,375.0,6.25,0.0,79.2,0.0,2.1,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,356.0,6.67,0.0,77.8,0.0,2.2,0.0,0.0,True,Lunch
Rice crackers,Not specified,416.0,10.0,5.0,82.6,0.0,0.0,233.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, buckwheat",Not specified,380.0,9.0,3.5,80.1,0.0,3.8,116.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, corn",Not specified,385.0,8.4,3.2,81.2,0.0,2.9,167.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, multigrain",Not specified,387.0,8.5,3.5,80.1,0.0,3.0,252.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, rye",Not specified,386.0,8.1,3.8,79.9,0.0,4.0,110.0,0.0,True,Lunch
"Snacks, rice cracker brown rice, plain",Not specified,387.0,8.2,2.8,81.5,0.89,4.2,166.0,0.0,True,Lunch
"Rice and vermicelli mix, rice pilaf flavor, unprepared",Not specified,359.0,10.4,1.37,76.3,1.53,1.2,1300.0,1.0,True,Lunch
"Snacks, rice cakes, brown rice, buckwheat, unsalted",Not specified,380.0,9.0,3.5,80.1,0.0,0.0,4.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, multigrain, unsalted",Not specified,387.0,8.5,3.5,80.1,0.0,0.0,4.0,0.0,True,Lunch
"Snacks, rice cakes, brown rice, plain, unsalted",Not specified,387.0,8.2,2.8,81.5,0.88,4.2,26.0,0.0,True,Lunch
