name,serving_size,protein,carbohydrates,sugar,fiber,water,calories,total_fat
Cornstarch,100 g,0.26 g,91.27 g,0.00 g,0.9 g,8.32 g,381,0.1g
"Nuts, pecans",100 g,9.17 g,13.86 g,3.97 g,9.6 g,3.52 g,691,72g
"Eggplant, raw",100 g,0.98 g,5.88 g,3.53 g,3.0 g,92.30 g,25,0.2g
"Teff, uncooked",100 g,13.30 g,73.13 g,1.84 g,8.0 g,8.82 g,367,2.4g
"Sherbet, orange",100 g,1.10 g,30.40 g,24.32 g,1.3 g,66.10 g,144,2g
"Cauliflower, raw",100 g,1.92 g,4.97 g,1.91 g,2.0 g,92.07 g,25,0.3g
"Taro leaves, raw",100 g,4.98 g,6.70 g,3.01 g,3.7 g,85.66 g,42,0.7g
"Lamb, raw, ground",100 g,16.56 g,0.00 g,0.00 g,0.0 g,59.47 g,282,23g
"Cheese, camembert",100 g,19.80 g,0.46 g,0.46 g,0.0 g,51.80 g,300,24g
Vegetarian fillets,100 g,23.00 g,9.00 g,0.80 g,6.1 g,45.00 g,290,18g
"PACE, Picante Sauce",100 g,0.00 g,6.25 g,6.25 g,3.1 g,89.90 g,25,0g
"Goji berries, dried",100 g,14.26 g,77.06 g,45.61 g,13.0 g,7.50 g,349,0.4g
"Mango nectar, canned",100 g,0.11 g,13.12 g,12.45 g,0.3 g,86.63 g,51,0.1g
"Crackers, rusk toast",100 g,13.50 g,72.30 g,0,0,5.50 g,407,7.2g
"Chicken, boiled, feet",100 g,19.40 g,0.20 g,0.00 g,0.0 g,65.80 g,215,15g
"Quail, raw, meat only",100 g,21.76 g,0.00 g,0,0.0 g,70.03 g,134,4.5g
"Pie, lemon, fried pies",100 g,3.00 g,42.60 g,0,2.6 g,37.60 g,316,16g
"Peppers, raw, jalapeno",100 g,0.91 g,6.50 g,4.12 g,2.8 g,91.69 g,29,0.4g
"Winged bean tuber, raw",100 g,11.60 g,28.10 g,0,0,57.40 g,148,0.9g
"Salami, turkey, cooked",100 g,19.20 g,1.55 g,1.12 g,0.1 g,68.80 g,172,9.2g
"Grapes, raw, muscadine",100 g,0.81 g,13.93 g,0,3.9 g,84.29 g,57,0.5g
"Nuts, raw, ginkgo nuts",100 g,4.32 g,37.60 g,0,0,55.20 g,182,1.7g
"Spices, ground, savory",100 g,6.73 g,68.73 g,0,45.7 g,9.00 g,272,5.9g
"Candies, sesame crunch",100 g,11.60 g,50.30 g,31.17 g,7.7 g,2.20 g,516,33g
"Cheese, low fat, cream",100 g,7.85 g,8.13 g,5.82 g,0.0 g,66.72 g,201,15g
"PACE, Green Taco Sauce",100 g,0.00 g,6.25 g,6.25 g,0,90.70 g,25,0g
"Syrup, Canadian, maple",100 g,0.00 g,67.38 g,59.92 g,0.0 g,32.15 g,270,0g
"Ostrich, raw, top loin",100 g,21.67 g,0.00 g,0.00 g,0.0 g,75.35 g,119,3g
"Chewing gum, sugarless",100 g,0.00 g,94.80 g,0.00 g,2.4 g,3.50 g,268,0.4g
"Nuts, dried, pine nuts",100 g,13.69 g,13.08 g,3.59 g,3.7 g,2.28 g,673,68g
"Pasta, unenriched, dry",100 g,13.04 g,74.67 g,2.67 g,3.2 g,9.90 g,371,1.5g
"McDONALD'S, Side Salad",100 g,1.03 g,4.30 g,2.24 g,1.6 g,93.93 g,20,0.2g
"Cookies, Marie biscuit",100 g,7.05 g,70.54 g,21.16 g,3.5 g,9.79 g,406,11g
"Broccoli, raw, chinese",100 g,1.20 g,4.67 g,0.88 g,2.6 g,92.55 g,30,0.8g
"McDONALD'S, Hash Brown",100 g,2.48 g,28.56 g,0.54 g,2.8 g,50.42 g,271,16g
"Agave, raw (Southwest)",100 g,0.52 g,16.23 g,2.58 g,6.6 g,81.83 g,68,0.2g
"Emu, raw, outside drum",100 g,23.08 g,0.00 g,0.00 g,0.0 g,74.87 g,103,0.5g
"Nuts, dried, beechnuts",100 g,6.20 g,33.50 g,0,0,6.60 g,576,50g
"Currants, dried, zante",100 g,4.08 g,74.08 g,67.28 g,6.8 g,19.21 g,283,0.3g
"Lentils, raw, sprouted",100 g,8.96 g,22.14 g,0,0,67.34 g,106,0.6g
"Gravy, mix, dry, onion",100 g,9.00 g,67.64 g,0,6.0 g,4.36 g,322,3g
"Pie, fruit, fried pies",100 g,3.00 g,42.60 g,21.40 g,2.6 g,37.60 g,316,16g
"Snacks, cakes, popcorn",100 g,9.70 g,80.10 g,0.72 g,2.9 g,5.00 g,384,3.1g
"Snack, Mixed Berry Bar",100 g,13.16 g,58.84 g,26.32 g,7.9 g,15.52 g,383,11g
"Fish, raw, sheepshead",100 g,20.21 g,0.00 g,0,0.0 g,77.97 g,108,2.4g
"Babyfood, pear, juice",100 g,0.00 g,11.86 g,7.28 g,0.1 g,87.90 g,47,0g
"Brussels sprouts, raw",100 g,3.38 g,8.95 g,2.20 g,3.8 g,86.00 g,43,0.3g
"Broccoli raab, cooked",100 g,3.83 g,3.12 g,0.62 g,2.8 g,91.41 g,33,0.5g
"Butter oil, anhydrous",100 g,0.28 g,0.00 g,0.00 g,0.0 g,0.24 g,876,99g
"Chicory, raw, witloof",100 g,0.90 g,4.00 g,0,3.1 g,94.52 g,17,0.1g
"KEEBLER, Waffle Cones",100 g,6.50 g,87.70 g,31.60 g,1.8 g,2.00 g,424,5.3g
"KEEBLER, Waffle Bowls",100 g,6.50 g,87.70 g,31.60 g,1.8 g,2.00 g,424,5.3g
"Broccoli, raw, leaves",100 g,2.98 g,5.06 g,1.48 g,2.3 g,90.69 g,28,0.4g
